,Libary,Class,Total_NumMeth,Sentences_min,Sentences_avg,Sentences_max,Total_sentences,TMRs
0,math,org.apache.commons.math3.linear.RealVector,62,1,1.74,5,108,2
1,math,org.apache.commons.math3.geometry.euclidean.threed.FieldVector3D,45,1,1.56,4,70,8
2,math,org.apache.commons.math3.stat.StatUtils,32,1,4.0,10,128,0
3,math,org.apache.commons.math3.geometry.euclidean.threed.FieldRotation,23,1,4.35,7,100,4
4,math,org.apache.commons.math3.util.Decimal64,18,1,1.0,1,18,1
5,math,org.apache.commons.math3.geometry.euclidean.threed.Rotation,17,1,3.53,7,60,4
6,math,org.apache.commons.math3.geometry.euclidean.threed.Vector3D,16,1,1.81,4,29,4
7,math,org.apache.commons.math3.optimization.direct.AbstractSimplex,14,1,1.64,7,23,0
8,math,org.apache.commons.math3.optim.nonlinear.scalar.noderiv.AbstractSimplex,14,1,1.64,7,23,0
9,math,org.apache.commons.math3.geometry.spherical.twod.Circle,14,1,1.14,2,16,2
10,math,org.apache.commons.math3.geometry.euclidean.twod.Vector2D,13,1,1.85,4,24,3
11,math,org.apache.commons.math3.linear.Array2DRowFieldMatrix,12,1,1.92,3,23,0
12,math,org.apache.commons.math3.geometry.euclidean.oned.Vector1D,11,1,1.64,3,18,3
13,math,org.apache.commons.math3.stat.descriptive.AbstractStorelessUnivariateStatistic,10,1,2.0,5,20,0
14,math,org.apache.commons.math3.linear.BlockFieldMatrix,10,1,2.0,5,20,0
15,math,org.apache.commons.math3.linear.Array2DRowRealMatrix,9,1,1.56,3,14,0
16,math,org.apache.commons.math3.stat.correlation.StorelessCovariance,8,1,1.12,2,9,0
17,math,org.apache.commons.math3.analysis.interpolation.LoessInterpolator,6,1,1.33,2,8,2
18,math,org.apache.commons.math3.linear.CholeskyDecomposition,6,1,1.5,2,9,0
19,math,org.apache.commons.math3.geometry.Vector,5,1,1.0,1,5,0
20,math,org.apache.commons.math3.fitting.WeightedObservedPoints,5,1,1.6,3,8,2
21,math,org.apache.commons.math3.fitting.CurveFitter,5,1,1.4,2,7,1
22,math,org.apache.commons.math3.optimization.fitting.CurveFitter,4,1,1.5,2,6,0
23,math,org.apache.commons.math3.dfp.DfpField,4,1,1.25,2,5,0
24,math,org.apache.commons.math3.analysis.interpolation.HermiteInterpolator,3,1,1.67,3,5,0
25,math,org.apache.commons.math3.fitting.leastsquares.EvaluationRmsChecker,2,2,2.5,3,5,3
26,math,org.apache.commons.math3.analysis.interpolation.MicrosphereInterpolator,2,1,1.5,2,3,0
27,math,org.apache.commons.math3.ode.FieldODEStateAndDerivative,1,1,1.0,1,1,0
28,math,org.apache.commons.math3.ode.FieldODEState,1,1,1.0,1,1,0
